,Job Title,Company Name,Company ID,Employment Type,Schedule,Salary From,Salary To,Salary Currency,Professional Roles,Required Experience,Region,Full Address,Address Latitude,Address Longitude,Apply URL,Vacancy URL,Publication Time,Archived,Requirements,Responsibilities
11,Директор филиала,ITSTEP Academy Almaty,5245543,Полная занятость,Полный день,,,,Коммерческий директор (CCO),От 1 года до 3 лет,Павлодар,,,,https://hh.ru/applicant/vacancy_response?vacancyId=109614419,https://hh.ru/vacancy/109614419,2024-10-30T08:59:24+0300,False,Опыт работы руководителем не менее 2 лет. Высшее образование. Навыки построения новых направлений с нуля. Опыт работы в сфере IT...,"Курирование работы всех отделов Академии (менеджеры по продажам, менеджеры учебного процесса, <highlighttext>преподаватели</highlighttext>, студенты). Вести полную отчетность работы филиала, ведение работы..."
12,Преподаватель английского языка,Есеркенова А.С,11536373,Частичная занятость,Гибкий график,240000.0,480000.0,KZT,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Астана,,,,https://hh.ru/applicant/vacancy_response?vacancyId=109062509,https://hh.ru/vacancy/109062509,2024-10-22T13:52:44+0300,False,Опыт работы <highlighttext>преподавателем</highlighttext> английского языка не менее года. Наличие сертификата IELTS/TOEFL/Duolingo. Стабильное подключение к высокоскростному интернету.,"Составлять аутентичные онлайн занятия по заданным направлениям (General English, Business English, IELTS preparation). Вести интерактивные занятия с упором на разговорную..."
13,Администратор в образовательный центр,Байтерек Білімі,10120134,Полная занятость,Полный день,,,,Администратор,Нет опыта,Алматы,,,,https://hh.ru/applicant/vacancy_response?vacancyId=109531738,https://hh.ru/vacancy/109531738,2024-10-29T09:27:58+0300,False,"Ответственного, стрессоустойчивого и готового работать в режиме многозадачности администратора. - Кандидата с навыками организации и координации, вежливого, внимательного к деталям и...",
14,Куратор/учитель в школу,QSCHOOL,11238907,Полная занятость,Полный день,200000.0,200000.0,KZT,"Учитель, преподаватель, педагог",Нет опыта,Алматы,,,,https://hh.ru/applicant/vacancy_response?vacancyId=108418919,https://hh.ru/vacancy/108418919,2024-10-27T15:09:45+0300,False,Высшее педагогическое образование по соответствующему предмету. Отличное знание своего предмета и умение доходчиво объяснять материал. Владение современными технологиями и опыт...,Проведение онлайн уроков через Zoom. Проверка домашних заданий и предоставление обратной связи ученикам. Отвечать на вопросы учеников. Составление презентации на...
15,Преподаватель английского языка,Захарьяева Benefit,2830501,Частичная занятость,Гибкий график,,,,"Учитель, преподаватель, педагог",Нет опыта,Астана,"Астана, проспект Бауыржана Момышулы, 2/5",51.135815,71.465203,https://hh.ru/applicant/vacancy_response?vacancyId=109553539,https://hh.ru/vacancy/109553539,2024-10-29T13:54:09+0300,False,Знание языка. Пунктуальность. Приветливость. Карьерный рост.,Консультация клиента. Привлечение клиента. Умение преподавать.
16,Ассистент педагога в детский сад со знанием английского языка,ESSENTIALS,10495166,Полная занятость,Полный день,200000.0,,KZT,"Воспитатель, няня",Нет опыта,Алматы,Алматы,43.255058,76.912628,https://hh.ru/applicant/vacancy_response?vacancyId=108880001,https://hh.ru/vacancy/108880001,2024-10-18T22:54:30+0300,False,Уровень английского Intermediate и выше. Любовь к детям. Порядочность. Доброжелательность. Желание учиться. Яркая улыбка.,Работа с детьми. Проведение с детьми развивающих занятий по методике Монтессори. Поддержание порядка рабочей среды в соответствии со стандартами АМИ. 
17,Педагог по подготовке к школе (казахская группа),SANA,3955792,Полная занятость,Полный день,230000.0,250000.0,KZT,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Астана,"Нур-Султан (Астана), улица Алихана Бокейханова, 29Б",51.08263,71.430591,https://hh.ru/applicant/vacancy_response?vacancyId=109420509,https://hh.ru/vacancy/109420509,2024-10-28T06:55:40+0300,False,Пунктуальность и ответственность. Грамотность и знание языка в совершенстве. Знание английского ( 1-2 уровень ).,Подготовить детей к школе. Составить месячный план. Найти контакт с детьми и родителями. Полное инфо на собеседовании.
18,Гувернантка (гувернер),Касымова Г.С.,11557824,Частичная занятость,Гибкий график,300000.0,700000.0,KZT,"Воспитатель, няня",От 3 до 6 лет,Алматы,,,,https://hh.ru/applicant/vacancy_response?vacancyId=109569044,https://hh.ru/vacancy/109569044,2024-10-29T17:25:07+0300,False,"Педагогическое образование (высшее и среднее). Опыт работы <highlighttext>учителем</highlighttext>. Плюсом будет являться если есть наличие своих детей, образование/сертификат Психолога и...","Этикет за столом (брошюра). Личная гигиена (брошюра). Развивающие игры. Обучающие программы: языки, навыки, домашние задания. Чтение (сказки, рассказы…) для детей..."
19,Администратор учебного центра,Perfect Study (Сандыбаева К. Ж.),3427316,Полная занятость,Полный день,100000.0,170000.0,KZT,Администратор,Нет опыта,Караганда,,,,https://hh.ru/applicant/vacancy_response?vacancyId=108817439,https://hh.ru/vacancy/108817439,2024-10-17T20:44:17+0300,False,"Высокие коммуникативные навыки, грамотная письменная и устная речь. Организованность, пунктуальность, ответственность, умение работать с людьми, вежливость. Владение MS Office, Excel...","Консультация клиентов и запись на пробные уроки. Выполнять административные поручения руководства. Ведение расписания <highlighttext>учителей</highlighttext>. Быть лицом школы, активно участвовать в..."
20,Преподаватель английского языка онлайн,Махмутов,10345849,Частичная занятость,Удаленная работа,150000.0,300000.0,KZT,"Учитель, преподаватель, педагог",Нет опыта,Алматы,,,,https://hh.ru/applicant/vacancy_response?vacancyId=109470950,https://hh.ru/vacancy/109470950,2024-10-28T15:00:13+0300,False,,Проведение и подготовка уроков. ⁃ Проверка выполнения домашних заданий. ⁃ Подготовка дополнительных материалов по запросу.
21,Главный бухгалтер,Alver Group,10819179,Полная занятость,Полный день,600000.0,,KZT,Бухгалтер,Более 6 лет,Астана,"Астана, улица Шары Жиенкуловой, 24/2",51.181486,71.447282,https://hh.ru/applicant/vacancy_response?vacancyId=109564343,https://hh.ru/vacancy/109564343,2024-10-29T16:01:41+0300,False,"Обязательно: Готовность к восстановлению за прошлый период. Обязательно: практикующий бухгалтер, не фрилансер, не <highlighttext>преподаватель</highlighttext>, не проектник, не директор, не закупщик. ","Полная организация и контроль работы отдела бухгалтерии. Бухгалтерский , налоговый учет."
22,Учитель английского языка,Шагирова Е.С,5776256,Полная занятость,Полный день,180000.0,220000.0,KZT,"Учитель, преподаватель, педагог",Нет опыта,Астана,,,,https://hh.ru/applicant/vacancy_response?vacancyId=109049226,https://hh.ru/vacancy/109049226,2024-10-22T11:32:22+0300,False,Диплом с 2020 по 2024 (не иметь пенсионки по специальности ). Не иметь ип. Требования: Знание английского и казахского языка.,
23,Администратор офиса,IELTS CLUB,10363544,Частичная занятость,Полный день,140000.0,,KZT,Администратор,Нет опыта,Алматы,"Алматы, Минусинская улица, 13Б",43.229071,76.934533,https://hh.ru/applicant/vacancy_response?vacancyId=108239286,https://hh.ru/vacancy/108239286,2024-10-07T10:02:30+0300,False,Опыт работы в административной сфере или в сфере обслуживания клиентов приветствуется. - Отличные коммуникативные навыки и способность эффективно взаимодействовать с клиентами. - ,"Консультации и регистрации студентов на экзамен IELTS. - Учет посещаемости <highlighttext>преподавателей</highlighttext> и учеников. - Ведение телефонных переговоров, обработка электронной почты и консультирование..."
24,Администратор,DANCING QUEEN,9268142,Полная занятость,Сменный график,150000.0,,KZT,Администратор,Нет опыта,Астана,"Астана, проспект Мангилик Ел, 41/5",51.102469,71.425731,https://hh.ru/applicant/vacancy_response?vacancyId=108217926,https://hh.ru/vacancy/108217926,2024-10-06T14:28:53+0300,False,"С высокой энергией, скоростью и позитивом. Легко общается с людьми и умеет подружиться. Быстро учится и быстро думает. ","Встреча клиентов. Продажи абонементов. Следить за порядком в студии. Контроль за работой команды: <highlighttext>педагогов</highlighttext>, тех персонала."
25,Психолог,Лабеан компани,11161354,Полная занятость,Полный день,400000.0,600000.0,KZT,Психолог,От 1 года до 3 лет,Алматы,село Каргалы,43.1673,76.407707,https://hh.ru/applicant/vacancy_response?vacancyId=108834749,https://hh.ru/vacancy/108834749,2024-10-18T10:48:10+0300,False,"Диплом о высшем образовании по специальности: "" <highlighttext>Педагог</highlighttext>- психолог"", "" Практический психолог"". Наличие опыта работы по специальности. Знание психологических методов (тестов) диагностики. ","Психологическая диагностика, проведение развивающих мероприятий, тренингов, лекционных занятий, социологических опросов."
26,Группа компаний LTC ищет главного бухгалтера,LTC School,10546321,Полная занятость,Полный день,400000.0,600000.0,KZT,Бухгалтер,От 3 до 6 лет,Астана,,,,https://hh.ru/applicant/vacancy_response?vacancyId=109559041,https://hh.ru/vacancy/109559041,2024-10-29T14:46:10+0300,False,"Опыт работы главным бухгалтером не менее 3 лет в дошкольном образовании – это критично, так как важно понимать специфику нашей деятельности. ",Ведение бухгалтерского и налогового учета для детского сада и языковой школы. Подготовка и сдача налоговой и управленческой отчетности в соответствии...
27,Преподаватель,Muse School,11550570,Полная занятость,Гибкий график,200000.0,500000.0,KZT,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Астана,"Астана, улица Митченко, 46",51.137115,71.422937,https://hh.ru/applicant/vacancy_response?vacancyId=109485532,https://hh.ru/vacancy/109485532,2024-10-28T20:12:15+0300,False,,"<highlighttext>Преподаватель</highlighttext> вокала. Проводить занятия в групповом/индивидуальном формате. Проводить пробные уроки, знакомить будущих учеников со школой. Вовлечённость в развитие школы..."
28,Педагог ассистент русскоговорящий,ГКП на ПХВ Школа-лицей №79 акимата города Астаны,11360810,Частичная занятость,Гибкий график,115000.0,125000.0,KZT,"Учитель, преподаватель, педагог",Нет опыта,Астана,"Астана, улица Максута Нарикбаева, 3",51.142545,71.385433,https://hh.ru/applicant/vacancy_response?vacancyId=109325588,https://hh.ru/vacancy/109325588,2024-10-26T09:17:54+0300,False,Требования: Высшее педагогическое образование. Наличие НКТ. Грамотная речь и письмо на русском языке. Умение работать с детьми.,"Работа под кураторством по готовой программе (ABA терапия, школьники с РАС, Аутизмом). Ведение документации по ученикам. Сопровождение на уроки. "
29,Учитель физической культуры в частную школу,Ақбұлақ 1-Астана,3517530,Полная занятость,Полный день,350000.0,500000.0,KZT,"Учитель, преподаватель, педагог",От 3 до 6 лет,Астана,,,,https://hh.ru/applicant/vacancy_response?vacancyId=109630687,https://hh.ru/vacancy/109630687,2024-10-30T10:47:38+0300,False,Педагогическое профильное образование.,"В частную школу ""ФЛАГМАН"" требуется <highlighttext>учитель</highlighttext> физической культуры. Планирует и организует обучение детей в соответствии с требованиями Государственного общеобязательного стандарта..."
30,Преподаватель английского языка,Moonschool,10416808,Частичная занятость,Полный день,100000.0,300000.0,KZT,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Астана,"Астана, проспект Богенбай батыра, 56А",51.17714420111575,71.42725472023758,https://hh.ru/applicant/vacancy_response?vacancyId=109422164,https://hh.ru/vacancy/109422164,2024-10-28T07:38:25+0300,False,"Свободное владение английским языком. — Знание и использование в работе различных подходов к обучению. — Опыт преподавания (желательно, если нет - Научим). — ",Проведение групповых и индивидуальных занятий взрослым и детям на уровнях от Beginner до Upper. — Проведение занятий согласно программе и расписании. — 
31,Преподаватель в школу английского языка «English Classes»,English classes,3044422,Полная занятость,Гибкий график,150000.0,300000.0,KZT,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Алматы,,,,https://hh.ru/applicant/vacancy_response?vacancyId=109145261,https://hh.ru/vacancy/109145261,2024-10-23T14:25:08+0300,False,Владение английским – не ниже уровня Upper Intermediate. Опыт преподавания детям в возрасте 6 - 12 лет. Профильное и/или лингвистическое образование.,"Проведение групповых и индивидуальных занятий детям, взрослым и корпоративным клиентам разных уровней. Преподавание в формате офлайн и онлайн. "
32,Администратор салона красоты,Valdi,3932029,Полная занятость,Полный день,150000.0,250000.0,KZT,Администратор,Нет опыта,Алматы,"Алматы, улица Радостовца, 158",43.223297,76.894315,https://hh.ru/applicant/vacancy_response?vacancyId=107215530,https://hh.ru/vacancy/107215530,2024-10-08T12:38:17+0300,False,"Есть поставленный алгоритм работы. Есть порядок. Вам только нужно приходить и делать:). Уважающих себя, порядочных и ответственных людей. ",Заботливое и вовлеченное руководство.
33,Монтессори-ассистент,Monte Club,2356895,Частичная занятость,Полный день,120000.0,250000.0,KZT,"Учитель, преподаватель, педагог",Нет опыта,Алматы,"Алматы, улица Гоголя, 77/85",43.260166,76.94525,https://hh.ru/applicant/vacancy_response?vacancyId=108494757,https://hh.ru/vacancy/108494757,2024-10-11T08:00:02+0300,False,Знание английского языка. Желателен опыт работы в Монтессори-среде. Обучаемость. Пунктуальность. Обязательность. Внимательность. Коммуникабельность.,Работа с детьми 2-6 лет. Присмотр и уход за детьми.
34,Администратор в образовательном центре,Fibonacci,1966118,Полная занятость,Полный день,300000.0,500000.0,KZT,Администратор,От 1 года до 3 лет,Алматы,"Алматы, проспект Абая, 143",43.239337,76.893156,https://hh.ru/applicant/vacancy_response?vacancyId=107033907,https://hh.ru/vacancy/107033907,2024-10-28T09:59:23+0300,False,Возможность работать полный день. Высшее образование приветствуется. Знание русского языка в совершенстве. Отличное владение MS Office (в особенности MS Excel). ,"Снабжение офиса: заказ воды, покупка/заказ канцелярских товаров и прочее. Поддержка обратной связи с клиентами Заказчика. Контроль <highlighttext>преподавателей</highlighttext> и работников..."
35,Учитель математики,Highvill,11447028,Полная занятость,Полный день,180000.0,300000.0,KZT,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Астана,"Астана, улица Жумекена Нажимеденова, 4/1",51.119778,71.460199,https://hh.ru/applicant/vacancy_response?vacancyId=109075724,https://hh.ru/vacancy/109075724,2024-10-22T16:44:14+0300,False,Умение быстро принимать решения; организаторские способности; практицизм; развитая интуиция; любовь к детям; психологическая устойчивость; жизнерадостность; высокий уровень культуры; активная жизненная...,
36,Помощник педагога,Академия развития личности MegaKids,3729640,Полная занятость,Полный день,160000.0,,KZT,"Учитель, преподаватель, педагог",Нет опыта,Алматы,,,,https://hh.ru/applicant/vacancy_response?vacancyId=105855619,https://hh.ru/vacancy/105855619,2024-10-21T09:31:58+0300,False,"Любовь к детям. Умение общаться с детьми. Грамотная речь. Улыбчивость, вежливость. Коммуникабельность, чистоплотность, аккуратность, ответственность.",Встреча и присмотр за детками. Помощь <highlighttext>педагогу</highlighttext> во время занятий. Помощь при подготовке к занятию. Подготовка творческих минуток. 
37,Администратор школы танцев/Менеджер по работе с клиентами,Ибраева Г.А.,3988665,Частичная занятость,Сменный график,100000.0,150000.0,KZT,Администратор,От 1 года до 3 лет,Астана,"Нур-Султан (Астана), улица Кенесары, 52",51.166815,71.441416,https://hh.ru/applicant/vacancy_response?vacancyId=109160118,https://hh.ru/vacancy/109160118,2024-10-23T17:57:42+0300,False,Высшее образование. -Грамотная речь. -Умение работать в режиме многозадачности и четко расставлять приоритеты. -Способность находить общий язык и с взрослыми...,контроль оплат за абонементы. -составление штатного расписания и осуществление замен <highlighttext>преподавателей</highlighttext>. -помощь в организации внутришкольных мероприятий. -выполнение административных поручений. -
38,"Продавец-кассир (ТЦ ""Форум"")",Глория Джинс Каспиан,4012196,Полная занятость,Сменный график,,,,"Продавец-консультант, продавец-кассир",Нет опыта,Алматы,"Алматы, проспект Сакена Сейфуллина, 617",43.233781,76.935404,https://hh.ru/applicant/vacancy_response?vacancyId=109427667,https://hh.ru/vacancy/109427667,2024-10-28T08:57:27+0300,False,"Не имеешь опыта работы, но готов обучаться. Готов работать в интенсивном режиме. Дружелюбный, общительный.",Консультируют покупателей. Пополняют товар и поддерживает порядок в торговом зале. Ведут полный цикл работ с кассовым аппаратом.
39,Преподаватель английского языка,Учебный центр TALENT,1242420,Полная занятость,Полный день,200000.0,,KZT,"Учитель, преподаватель, педагог",От 3 до 6 лет,Алматы,"Алматы, улица Кабанбай Батыра, 203",43.24729,76.902023,https://hh.ru/applicant/vacancy_response?vacancyId=109483601,https://hh.ru/vacancy/109483601,2024-10-28T18:19:13+0300,False,"От Вас потребуется: * развитие мотивации у учеников, нацеленность на результат. Какие навыки мы ожидаем от кандидатов: * Опыт работы, не менее...","планирование и проведение креативных уроков с использованием видео и аудио материалов, новых современных методик. * возможность работать с корпоративными клиентами, на..."
40,Преподаватель английского языка,ELC Astana,9279249,Полная занятость,Сменный график,100000.0,,KZT,"Учитель, преподаватель, педагог",Нет опыта,Астана,"Астана, переулок Иманова, 19",51.163658,71.447937,https://hh.ru/applicant/vacancy_response?vacancyId=109377735,https://hh.ru/vacancy/109377735,2024-10-27T09:32:29+0300,False,"Английский язык от B2 и выше, не беспокоить у кого ниже или не твердый Upper-intermediate. Коммуникабельность. ",Обучать Английскому языку по методике центра. Работать со школьниками так и со взрослыми.
41,Администратор в студию танцев,Ru.Inc,10245793,Полная занятость,Полный день,150000.0,,KZT,Администратор,Нет опыта,Астана,"Астана, улица Динмухамеда Кунаева, 25",51.132175,71.425982,https://hh.ru/applicant/vacancy_response?vacancyId=108661001,https://hh.ru/vacancy/108661001,2024-10-15T11:00:15+0300,False,,Встречать и консультировать клиентов. Делать звонки. Обязательно продавать. Заполнять таблицы и отчёты. Работа в системе CRM. Вести учет занятий и...
42,Репетитор по английскому языку,ОЮЛ Казахстанско-Китайская ассоциация содействия торговле,3329427,Частичная занятость,Полный день,,,,"Учитель, преподаватель, педагог",От 3 до 6 лет,Астана,Астана,51.128201,71.430429,https://hh.ru/applicant/vacancy_response?vacancyId=109557150,https://hh.ru/vacancy/109557150,2024-10-29T14:22:36+0300,False,Знание китайского языка будет преимуществом.,Преподавать детям английский язык. Подготовка ко вступительным экзаменам в школу HaileyBury. Преподавание на казахском языке. Отдельное помещение отведенное для занятий.
43,Педагог дополнительного образования,Удербаева,10612031,Полная занятость,Полный день,180000.0,,KZT,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Павлодар,"Павлодар, улица Академика Чокина, 97/1",52.267002,76.962084,https://hh.ru/applicant/vacancy_response?vacancyId=109485399,https://hh.ru/vacancy/109485399,2024-10-28T19:57:47+0300,False,Среднее или высшее образовние в сфере дошкольного образования или МНО. Опыт работы желателен.,
44,Педагог английского языка,Монтессори Bambini,3606282,Частичная занятость,Гибкий график,50000.0,50000.0,KZT,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Астана,"Нур-Султан (Астана), микрорайон Шубар, улица Арай, 53",51.13573,71.433439,https://hh.ru/applicant/vacancy_response?vacancyId=109486213,https://hh.ru/vacancy/109486213,2024-10-28T21:05:58+0300,False,Высшее или среднее образование в сфере педагогики. Опыт работы с детьми дошкольного возраста. Знание английского языка на уровне B2.,
45,Преподаватель Английского языка в KILC,КАЗАХСТАНСКИЙ МЕЖДУНАРОДНЫЙ КОЛЛЕДЖ,10525118,Полная занятость,Полный день,200000.0,300000.0,KZT,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Астана,,,,https://hh.ru/applicant/vacancy_response?vacancyId=109422130,https://hh.ru/vacancy/109422130,2024-10-28T07:37:48+0300,False,"Образование ""Переводческое дело""(обязательно). Наличие сертификатов CELTA / TESOL / IELTS / TOEFL / FCE приветствуется. Опыт работы преподавания. Коммуникабельность, Отзывчивость, Любовь к своему...",Проведение занятий. Подготовка. Планирование. Контроль процесса обучения.
46,Директор филиала,ITSTEP Academy Almaty,5245543,Полная занятость,Полный день,,,,Коммерческий директор (CCO),От 1 года до 3 лет,Актобе,,,,https://hh.ru/applicant/vacancy_response?vacancyId=109614616,https://hh.ru/vacancy/109614616,2024-10-30T09:00:58+0300,False,Опыт работы руководителем не менее 2 лет. Высшее образование. Навыки построения новых направлений с нуля. Опыт работы в сфере IT...,"Курирование работы всех отделов Академии (менеджеры по продажам, менеджеры учебного процесса, <highlighttext>преподаватели</highlighttext>, студенты). Вести полную отчетность работы филиала, ведение работы..."
47,Менеджер,Dirxen,10603647,Полная занятость,Полный день,200000.0,500000.0,KZT,"Менеджер по продажам, менеджер по работе с клиентами",Нет опыта,Астана,"Астана, микрорайон Шубар, улица Митченко, 46",51.137115,71.422937,https://hh.ru/applicant/vacancy_response?vacancyId=108912511,https://hh.ru/vacancy/108912511,2024-10-29T19:46:15+0300,False,Мы всему научим - от вас нужно только желание развиваться!,"...тренинги по продажам. Консультировать по видам абонементов. Поддерживать позитивную, веселую атмосферу в школе. Составлять расписание уроков для учеников и <highlighttext>преподавателей</highlighttext>."
48,Учитель английского языка,Нур стади,3724699,Частичная занятость,Полный день,,350000.0,KZT,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Астана,"Астана, ул. Желтоксан 17, Астана 010000",51.169343489804476,71.41515596358295,https://hh.ru/applicant/vacancy_response?vacancyId=109149069,https://hh.ru/vacancy/109149069,2024-10-23T15:18:39+0300,False,"Опыт работы Преподавания обязателен. Высшее образование. Наличие сертификатов IELTS, TOEFL, CELTA будет преимуществом.",Преподавание английского языка разным возрастным группам от уровня BEGINNER до advanced. Разработка и Активное участие во внутренних мероприятиях центра. 
49,Учитель английского языка для дошкольников,Baby Club Astana,2127139,Частичная занятость,Гибкий график,60000.0,160000.0,KZT,"Учитель, преподаватель, педагог",От 3 до 6 лет,Астана,"Астана, проспект Бауыржана Момышулы, 16",51.141042,71.483529,https://hh.ru/applicant/vacancy_response?vacancyId=109151949,https://hh.ru/vacancy/109151949,2024-10-23T15:57:27+0300,False,"опыт в подобной сфере. - любовь к детям. - желание не останавливаться на достигнутом , обучаться, так как компанией также предоставляются дополнительные обучения.",давать обратную связь родителям по успеваемости.
